,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels
4097,752,0.07656281816330686,0.5199026042769426,6.045140579061027e-06,0.6286334532679831,0.00591894799453297,4.221679594698041e-05,3012.3936170212764,0
8136,830,0.08450417430258603,0.5220580418837036,7.799073641798684e-06,0.5963404886130772,0.00646513514592248,4.667788669423042e-05,2955.8108433734938,0
9835,622,0.06332722459784158,0.5163494900641362,2.938446409849872e-06,0.6947305196990644,0.005287513906361016,3.984461856724627e-05,3295.054662379421,0
4518,212,0.021584198737528,0.505168955408116,6.052011715991958e-07,0.6914960207457749,0.0015326823538196937,2.1592285270638305e-05,2727.6556603773583,0
8938,390,0.03970678069639585,0.5100218091182885,9.93051513195334e-07,0.7505767582888405,0.003121529628241406,2.7309440543699894e-05,3053.3205128205127,0
7412,367,0.03736509875789045,0.5095191160450278,1.6567547189774854e-06,0.6522684295945563,0.0026449185265789606,2.7761361251311048e-05,2776.8310626702996,0
8515,309,0.031459987782529016,0.5078856197321475,5.310241596947258e-07,0.7702895809691926,0.0027558408399467743,2.3979332489073995e-05,3556.4854368932038,0
6864,533,0.054265933618407654,0.5139448485165612,4.499372877626178e-06,0.589499076020257,0.0035861059546497733,3.9415258921138796e-05,2614.7729831144466,0
6480,974,0.09916513948279372,0.5260846277450455,1.245988266387316e-05,0.5511985835209803,0.007195107455093087,5.093413126452627e-05,2749.798767967146,1
7535,447,0.045510079413561395,0.5116157933118033,2.066697152916408e-06,0.6697665553114435,0.0033844745230659336,3.0414672739094897e-05,2980.31096196868,1
9119,699,0.07116676847892486,0.5184481393507522,6.2889713819186975e-06,0.5860398194719432,0.005387967941901185,3.915491701873405e-05,2950.6165951359085,1
6926,490,0.049888006515984525,0.5126839962417788,3.989426549574388e-06,0.5755102040816327,0.003400556722194176,3.0968901127829764e-05,2621.908163265306,0
8708,648,0.06597434331093463,0.5170562223626026,5.772236265606067e-06,0.5833428740435438,0.004581928325568349,3.9605052163046456e-05,2710.3996913580245,1
6069,339,0.03451435552840562,0.5085693574276394,1.252789417205498e-06,0.7161683335951545,0.0026850743411079383,2.825857321240296e-05,3094.929203539823,0
8740,635,0.06465078395438811,0.5167026145510022,6.532223880451682e-06,0.5882312029608286,0.004895006900529653,3.947828091673294e-05,2980.247244094488,0
7503,552,0.056200366524129505,0.5143485546711353,2.8887161081685693e-06,0.6664430942423525,0.0045432643679224945,3.3163239505410114e-05,3164.05615942029,0
9405,305,0.03105273874974547,0.5077805924623895,1.0105088457236898e-06,0.688481449525453,0.0024464258393679353,2.4330743099225666e-05,3162.773770491803,0
8631,836,0.08511504785176136,0.5218361491871214,1.2484247049016999e-05,0.5313182247944302,0.005872532258912047,4.6575089920123567e-05,2609.0514354066986,0
8318,848,0.086336794950112,0.5224468085106383,6.557288947828475e-06,0.6436395936824754,0.007010891200049817,4.598669796639691e-05,3133.7665094339623,0
8658,672,0.06841783750763591,0.5176011804384486,4.926906876100667e-06,0.6320568093109077,0.005281364362654315,3.843800106695176e-05,3032.7961309523807,1
9831,351,0.035736102626756264,0.5089910348758875,8.013073952882058e-07,0.7849247049247049,0.0032961159879827846,2.6644993991979943e-05,3794.680911680912,0
6809,600,0.06108735491753207,0.5155364266218769,3.409471283093357e-06,0.6560990539788536,0.00479864737357567,3.521132139054612e-05,3047.525,0
6071,449,0.045713703929953164,0.5115891452679827,2.2823819424692015e-06,0.6891703786191536,0.0037591786133709462,3.0003011559070728e-05,3316.6458797327396,1
8960,733,0.07462838525758501,0.5192704203013482,4.5764072251011995e-06,0.6664206532030208,0.005920659515917727,4.0879892610832226e-05,3053.087312414734,1
5154,408,0.041539401343921804,0.5105785725424963,2.1901475391927247e-06,0.6407236113118466,0.0032510539627990387,2.7631654902453753e-05,3132.4656862745096,0
7439,770,0.07839543881083283,0.5202881661192923,8.23414801222476e-06,0.5649941735767483,0.005615490196727473,4.226354055019126e-05,2699.4,0
8418,112,0.011402972917939319,0.5015062547868266,0.0,1.0,0.0008787951736554513,1.845369181832532e-05,3139.526785714286,0
2442,725,0.07381388719201792,0.5189411951180852,8.405418887382866e-06,0.5543341588874071,0.005274747960501186,4.0173167558642e-05,2754.568275862069,0
8454,572,0.05823661168804724,0.514510214772132,4.32945369012413e-06,0.5912520054376447,0.004144489990265865,3.352564423270012e-05,2708.3216783216785,0
6605,409,0.04164121360211769,0.5106316610345724,1.5953575444682743e-06,0.6746248621698068,0.0033850627361621767,2.697837391298546e-05,3196.5427872860637,1
8759,656,0.06678884137650173,0.5171651221566975,6.315567660684121e-06,0.5582293800037237,0.0045572726532773855,3.749999114447604e-05,2629.705792682927,0
6232,465,0.04734270006108735,0.5116957541026309,2.2872747163491257e-06,0.6726733407489803,0.0038248149286214447,2.9775658965314727e-05,3194.8279569892475,0
4617,1068,0.10873549175320708,0.5284907183212268,2.1954078434906607e-05,0.4661113626710754,0.006627080238243117,6.0201017067853595e-05,2269.3417602996255,0
5596,878,0.0893911626959886,0.5232260813978266,1.1858668002361685e-05,0.5514528458219806,0.006368228463192502,4.882950497080968e-05,2697.589977220957,0
9551,505,0.051415190388922824,0.5130589218554116,2.500221631961305e-06,0.6518230394468019,0.004032049356488521,3.034416618725539e-05,3068.8158415841585,1
6439,883,0.08990022398696804,0.5234212629896083,8.36103457480681e-06,0.6146999381103895,0.007159267713509296,4.776501720705492e-05,3083.0939977349944,0
1507,1387,0.14121360211769496,0.5378675866600953,2.9223842682179452e-05,0.5189114338357309,0.010021493180401748,7.511744332978996e-05,2654.666906993511,1
6531,205,0.02087151293015679,0.505168955408116,1.7843487459865707e-07,0.8568627450980392,0.001977603380979381,2.1175958219386785e-05,4008.0682926829268,0
7697,363,0.0369578497251069,0.5094134121674188,1.0999458721346808e-06,0.7508941753040196,0.0031803901292390413,2.7346612164790768e-05,3560.7052341597796,0
6311,965,0.09824882915903074,0.5257185676818498,1.0601134575187193e-05,0.6066067551007245,0.007613182978605786,5.307050831368706e-05,2972.9886010362693,0
6061,915,0.09315821624923641,0.5244273586416787,1.1003222184422266e-05,0.5637741985627339,0.0068197627319984385,4.8468553096504825e-05,2813.1770491803277,0
4242,1298,0.13215231113826104,0.5353755587048948,2.6250789350473122e-05,0.5313993534920577,0.00956030006721525,7.189675078850618e-05,2745.919876733436,0
3487,576,0.05864386072083079,0.5150768262625203,8.068227112116482e-06,0.5904649758454106,0.003879297531416963,3.8592876053948506e-05,2656.597222222222,1
9547,106,0.010792099368764,0.5018650043431608,0.0,1.0,0.0009024200885712332,1.8265535479337465e-05,3530.2075471698113,0
5693,857,0.08725310527387498,0.5228083249055198,8.03830840252144e-06,0.6008571522044951,0.006828406244227475,4.4206327415018495e-05,3030.9101516919486,1
6230,457,0.04652820199552026,0.5119091051232605,1.705190246219452e-06,0.717436369918231,0.0038995727304977283,3.00658212012992e-05,3379.3260393873084,0
8380,608,0.061901852983099165,0.5159697415423409,5.457803388087194e-06,0.6001799184947542,0.004636692785518072,3.683768247615266e-05,2977.4276315789475,0
5937,622,0.06332722459784158,0.5162409334594765,4.1891016243250915e-06,0.654612672227659,0.005060206027675323,3.631817319931703e-05,3118.331189710611,1
4818,201,0.020464263897373245,0.5050131112139442,2.2687496992265715e-07,0.8066666666666666,0.001624009148225293,2.1189398558301285e-05,3228.323383084577,1
8501,471,0.04795357361026267,0.5122828978250665,2.1021212264474514e-06,0.6730270587703844,0.003860998123904875,2.986163170411275e-05,3186.1422505307855,0
9878,493,0.05019344329057218,0.5127375234913343,2.8172461984959484e-06,0.6376177047774535,0.0038652826035143937,3.044752373819704e-05,2962.6409736308315,0
6495,818,0.08328242720423538,0.5217252735578455,9.962286769663238e-06,0.5766490200596732,0.006144707768708917,4.586873658437443e-05,2859.2677261613694,0
8733,536,0.05457137039299532,0.5139986393845832,2.7998831990912956e-06,0.6712721439531315,0.004451143663443324,3.329651267475813e-05,3231.598880597015,0
4583,760,0.07737731622887395,0.5201228553272612,7.625630118345329e-06,0.5776853200194161,0.005849737510520528,4.2335562401095414e-05,2958.676315789474,1
6851,1079,0.10985542659336184,0.5289460929506166,2.3098246317175198e-05,0.4673725585945896,0.006908045112953202,5.7264876457997635e-05,2346.2011121408714,0
7459,762,0.07758094074526573,0.5200677750714815,6.706658679069797e-06,0.6077512321472299,0.006054640461171211,4.1715092851697335e-05,3047.0236220472443,0
8590,535,0.05446955813479943,0.5139717425431711,2.171064021071659e-06,0.688676537505688,0.004479094520990777,3.2263303058793e-05,3195.592523364486,0
8977,753,0.07666463042150275,0.5197925486875529,4.701015389656329e-06,0.6666348789240202,0.006329936197488365,4.2923835860640734e-05,3186.4714475431606,0
4867,961,0.0978415801262472,0.5257185676818498,1.95439565525084e-05,0.4871769857787027,0.00566950346376963,7.03469958114288e-05,2242.7658688865763,0
